team,avgElo,player,elo,regElo,eloDelta,totalGames,whiteWinAmount,whiteWinP,whiteDrawAmount,whiteDrawP,whiteLossAmount,whiteLossP,blackWinAmount,blackWinP,blackDrawAmount,blackDrawP,blackLossAmount,blackLossP,lineup1,lineup2,lineup3,lineup4,lineup5,lineup6
"Rochade Rum",2199.1111111111113,"Spornberger, Maximilian",2347,2317,0,8,1,0.0269,1,0.0269,1,0.0269,4,0.0646,1,0.0162,0,0.0000,0.0000,0.0000,0.0000,0.7273,0.0000,0.0000
"Rochade Rum",2199.1111111111113,"Gatterer, Florian",2223,2223,38,55,11,0.2183,10,0.1984,7,0.1389,5,0.1029,13,0.2675,9,0.1852,0.0519,0.2727,0.2208,0.0390,0.0000,0.0000
"Rochade Rum",2199.1111111111113,"Spornberger, Andre",2108,2153,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Rochade Rum",2199.1111111111113,"Hengl, Christian",2245,2245,52,70,10,0.2210,17,0.3756,5,0.1105,13,0.2419,15,0.2791,10,0.1861,0.0000,0.0114,0.1591,0.2841,0.2273,0.0000
"Rochade Rum",2199.1111111111113,"Hoellrigl, Wilfried",2153,2153,0,54,12,0.2045,7,0.1193,13,0.2216,8,0.1983,7,0.1736,7,0.1736,0.0000,0.0000,0.0390,0.4416,0.0779,0.1429
"Rochade Rum",2199.1111111111113,"Moroder, Stefan",2159,2165,47,9,0,0.0000,3,0.0682,1,0.0227,1,0.0182,2,0.0364,2,0.0364,0.0000,0.0000,0.0000,0.0000,0.0000,0.2045
"Rochade Rum",2199.1111111111113,"Jedinger, Andreas",2105,2105,0,75,12,0.2331,15,0.2914,12,0.2331,11,0.2315,13,0.2736,12,0.2525,0.0000,0.0000,0.0000,0.1414,0.3636,0.1616
"Rochade Rum",2199.1111111111113,"Babinetz, Rainer",2011,2096,-90,1,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0909
"Rochade Rum",2199.1111111111113,"Wegener, Olaf",2441,2440,18,20,2,0.0367,7,0.1286,2,0.0367,3,0.0673,2,0.0449,4,0.0898,0.6061,0.0000,0.0000,0.0000,0.0000,0.0000
"Dornbirn",2177.25,"Drabke, Lorenz",2462,2462,76,33,11,0.1930,7,0.1228,1,0.0175,6,0.1429,3,0.0714,5,0.1190,0.1688,0.0649,0.0519,0.0779,0.0000,0.0000
"Dornbirn",2177.25,"Novkovic, Milan",2380,2380,0,49,8,0.1523,13,0.2475,5,0.0952,8,0.1722,11,0.2367,4,0.0861,0.0909,0.2222,0.1111,0.0303,0.0000,0.0000
"Dornbirn",2177.25,"Schmidlechner, Alexander",2217,2217,47,56,3,0.0606,14,0.2828,11,0.2222,6,0.1212,13,0.2626,9,0.1818,0.0455,0.0455,0.3636,0.1818,0.0758,0.0000
"Dornbirn",2177.25,"Novkovic, Julia",2156,2156,101,56,7,0.1414,7,0.1414,14,0.2828,5,0.1010,3,0.0606,20,0.4040,0.0000,0.1039,0.2727,0.1299,0.0519,0.0260
"Dornbirn",2177.25,"Proyer, Enno",1906,1983,0,6,0,0.0000,1,0.0202,2,0.0404,0,0.0000,0,0.0000,3,0.0606,0.0000,0.0000,0.0000,0.0000,0.0606,0.1212
"Dornbirn",2177.25,"Ausserer, Felix",1901,2023,22,2,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0101,1,0.0101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Dornbirn",2177.25,"Klocker, Benedikt",2192,2192,233,38,2,0.0366,5,0.0914,14,0.2559,6,0.1355,2,0.0452,9,0.2032,0.0758,0.1061,0.1515,0.0909,0.0000,0.0000
"Dornbirn",2177.25,"Ruescher, Christian",2093,2114,109,8,2,0.0404,1,0.0202,1,0.0202,3,0.0606,0,0.0000,1,0.0202,0.0000,0.0000,0.0000,0.0000,0.0000,0.2424
"Dornbirn",2177.25,"Vogel, Roven",2408,2304,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Dornbirn",2177.25,"Leutwyler, Martin",2190,2192,31,4,0,0.0000,1,0.0404,0,0.0000,0,0.0000,2,0.0269,1,0.0135,0.0000,0.0909,0.0000,0.0455,0.0455,0.0000
"Dornbirn",2177.25,"Kanonier, Clemens",2117,2117,68,37,7,0.1137,4,0.0650,12,0.1950,1,0.0267,3,0.0801,10,0.2670,0.0000,0.0260,0.0260,0.1039,0.1688,0.0390
"Dornbirn",2177.25,"Ulmer, Hanno",2105,2151,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Goetzis 2",2127.25,"Kessler, Luca",2324,2324,413,45,9,0.2273,5,0.1263,4,0.1010,6,0.1010,11,0.1852,10,0.1684,0.0000,0.0227,0.1023,0.1477,0.0795,0.1591
"Goetzis 2",2127.25,"Quintero Ortega, Carlos",2190,2191,0,8,2,0.0404,1,0.0202,1,0.0202,1,0.0202,2,0.0404,1,0.0202,0.0000,0.0000,0.0000,0.0000,0.7273,0.0000
"Goetzis 2",2127.25,"Mittelberger, Peter",2203,2203,23,32,6,0.1492,4,0.0995,3,0.0746,2,0.0340,11,0.1871,6,0.1021,0.0000,0.0303,0.0606,0.1818,0.0909,0.0000
"Goetzis 2",2127.25,"Scheffknecht, Philipp",2152,2152,87,50,2,0.0481,11,0.2646,8,0.1924,10,0.1742,8,0.1393,11,0.1916,0.0000,0.0390,0.0390,0.2468,0.1429,0.0909
"Goetzis 2",2127.25,"Kranz, Armin",2131,2131,31,69,15,0.3372,6,0.1349,10,0.2248,9,0.1651,11,0.2018,18,0.3301,0.0000,0.0000,0.0101,0.0202,0.2929,0.2929
"Goetzis 2",2127.25,"Natter, Markus",2005,2005,0,29,4,0.0976,4,0.0976,4,0.0976,3,0.0517,7,0.1206,7,0.1206,0.0000,0.0000,0.0606,0.0455,0.1212,0.0455
"Goetzis 2",2127.25,"Bilchinski, Anton",2260,2230,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Goetzis 2",2127.25,"Gauss, Gustav",2182,2186,37,6,2,0.0404,1,0.0202,0,0.0000,0,0.0000,1,0.0202,2,0.0404,0.0000,0.0000,0.1818,0.0455,0.0455,0.0000
"Goetzis 2",2127.25,"Gretz, Denis",2073,2135,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Goetzis 2",2127.25,"Jussupow, Nadia",2105,2147,0,1,0,0.0000,0,0.0000,0,0.0000,0,0.0000,1,0.0101,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0909
"Goetzis 2",2127.25,"Ferk, Martin",1938,1990,7,8,1,0.0202,1,0.0202,2,0.0404,0,0.0000,2,0.0404,2,0.0404,0.0000,0.0000,0.0000,0.0000,0.0000,0.1818
"Goetzis 2",2127.25,"Bacquele, Fabrice",1964,2081,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Hohenems II",2205.9166666666665,"Froewis, Georg",2434,2434,322,38,5,0.1010,8,0.1616,6,0.1212,5,0.1010,5,0.1010,9,0.1818,0.2468,0.1688,0.0000,0.0000,0.0000,0.0000
"Hohenems II",2205.9166666666665,"Baldauf, Marco",2420,2420,315,38,8,0.1616,9,0.1818,2,0.0404,9,0.1818,7,0.1414,3,0.0606,0.0779,0.1039,0.0779,0.0260,0.0779,0.0130
"Hohenems II",2205.9166666666665,"Burschowsky, Matthias",2208,2208,76,60,8,0.1796,9,0.2020,10,0.2245,14,0.2571,11,0.2020,8,0.1469,0.0808,0.0000,0.0808,0.1717,0.1616,0.0000
"Hohenems II",2205.9166666666665,"Atlas, Dmitry",2220,2220,43,31,3,0.0587,7,0.1370,6,0.1174,3,0.0626,8,0.1670,4,0.0835,0.0682,0.0000,0.2727,0.1591,0.0682,0.1364
"Hohenems II",2205.9166666666665,"Hofer, Emilian",2219,2219,447,16,1,0.0202,3,0.0606,4,0.0808,4,0.0808,4,0.0808,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0303,0.2121
"Hohenems II",2205.9166666666665,"Uhlmann, David",2082,2140,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Hohenems II",2205.9166666666665,"Amann, Guenter",2347,2347,54,24,1,0.0269,6,0.1616,2,0.0539,8,0.1293,5,0.0808,2,0.0323,0.0000,0.0909,0.1818,0.0758,0.0000,0.0000
"Hohenems II",2205.9166666666665,"Studer, NoÃ«l",2405,2302,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Hohenems II",2205.9166666666665,"Gaertner, Guntram",2226,2226,0,47,3,0.0619,15,0.3096,5,0.1032,4,0.0791,15,0.2967,5,0.0989,0.1169,0.1039,0.0779,0.1039,0.0779,0.0000
"Hohenems II",2205.9166666666665,"Sandholzer, Robert",2175,2175,80,52,7,0.1114,17,0.2706,9,0.1433,4,0.1106,10,0.2764,5,0.1382,0.0000,0.0000,0.0114,0.1136,0.2614,0.2045
"Hohenems II",2205.9166666666665,"Kranzl, Julian",1763,1980,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Hohenems II",2205.9166666666665,"Kuntner, Reinhard",1972,2039,52,5,0,0.0000,1,0.0168,2,0.0337,0,0.0000,0,0.0000,2,0.0505,0.0000,0.0000,0.0000,0.0000,0.0000,0.1818
"Kufstein/Woergl",2193.9,"Bertagnolli, Alexander",2343,2343,24,58,12,0.2268,12,0.2268,7,0.1323,9,0.1953,9,0.1953,9,0.1953,0.1932,0.2500,0.1477,0.0227,0.0227,0.0000
"Kufstein/Woergl",2193.9,"Levushkina, Elena",2299,2276,16,7,2,0.0354,0,0.0000,2,0.0354,0,0.0000,1,0.0236,2,0.0471,0.0000,0.0000,0.0455,0.2727,0.0000,0.0000
"Kufstein/Woergl",2193.9,"Koepke, Christian",2322,2322,0,33,3,0.0667,8,0.1778,4,0.0889,3,0.0556,10,0.1852,5,0.0926,0.3864,0.1136,0.2500,0.0000,0.0000,0.0000
"Kufstein/Woergl",2193.9,"Maurer, Jochen",2254,2254,42,39,11,0.1733,11,0.1733,3,0.0473,7,0.1970,4,0.1126,3,0.0844,0.0455,0.1061,0.1061,0.1061,0.1364,0.0909
"Kufstein/Woergl",2193.9,"Neuschmied, Siegfried",2246,2246,25,59,8,0.1766,10,0.2207,9,0.1987,13,0.2421,5,0.0931,14,0.2607,0.0568,0.0909,0.1818,0.0682,0.0568,0.1023
"Kufstein/Woergl",2193.9,"Kranewitter, Norbert",2049,2049,2,33,5,0.1282,3,0.0769,5,0.1282,4,0.0667,9,0.1500,7,0.1167,0.0000,0.0000,0.0000,0.0152,0.0758,0.4091
"Kufstein/Woergl",2193.9,"Rusche, Johannes",2274,2274,104,45,3,0.0852,7,0.1989,6,0.1705,13,0.2038,8,0.1254,8,0.1254,0.0000,0.0455,0.0909,0.2576,0.2879,0.0000
"Kufstein/Woergl",2193.9,"Anibas, Juergen",1955,2065,-34,1,0,0.0000,0,0.0000,0,0.0000,1,0.0101,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0909,0.0000
"Kufstein/Woergl",2193.9,"Atzl, Florian",1918,2045,180,1,0,0.0000,1,0.0101,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0909
"Kufstein/Woergl",2193.9,"Prediger, Ruppert",2279,2239,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Schwarzach",2281.0833333333335,"Krstic, Uros",2428,2428,81,50,12,0.2331,12,0.2331,2,0.0389,14,0.2946,7,0.1473,3,0.0631,0.1932,0.3409,0.0000,0.0000,0.0000,0.0000
"Schwarzach",2281.0833333333335,"Roeberg, Frank",2249,2246,23,14,0,0.0000,3,0.0530,5,0.0884,3,0.0707,2,0.0471,1,0.0236,0.1364,0.0455,0.1818,0.2727,0.0000,0.0000
"Schwarzach",2281.0833333333335,"Ruecker, Benjamin",2269,2234,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Schwarzach",2281.0833333333335,"Ljubic, Juro",2213,2213,44,78,9,0.2086,18,0.4171,7,0.1622,10,0.1791,21,0.3760,13,0.2328,0.0000,0.0227,0.1477,0.1932,0.3750,0.0227
"Schwarzach",2281.0833333333335,"Stoeckl, Norbert",2094,2094,41,59,10,0.1703,7,0.1192,18,0.3065,7,0.1738,6,0.1490,11,0.2731,0.0000,0.0000,0.0227,0.1023,0.1364,0.3409
"Schwarzach",2281.0833333333335,"Cardaklija, Mirsad",2060,2129,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Schwarzach",2281.0833333333335,"Ljubic, Franjo Jun.",1863,2030,0,0,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"Schwarzach",2281.0833333333335,"Palac, Mladen",2581,2423,20,2,0,0.0000,0,0.0000,0,0.0000,1,0.0101,0,0.0000,1,0.0101,0.0909,0.0000,0.0909,0.0000,0.0000,0.0000
"Schwarzach",2281.0833333333335,"Biti, Ozren",2353,2302,0,4,1,0.0202,1,0.0202,0,0.0000,0,0.0000,1,0.0202,1,0.0202,0.0000,0.1364,0.0455,0.0000,0.0000,0.0000
